food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
,0,Artisan-Style Grilled Cheese Sandwich,162 g,490,24,15,0.5,65,1070,45,4,2,29,20,0,60,25,1,0,0
,0,BLT Sandwich,197 g,420,15,4,0.1,20,770,56,3,2,17,2,15,2,30,0,0,0
,0,Chicken Salad Croissant Sandwich,215 g,430,23,8,0.2,40,830,35,3,5,20,0,20,4,25,0,0,0
,0,Chipotle Chicken Grilled Wrap,270 g,430,18,7,0.3,70,1070,41,3,4,27,15,45,30,30,0,0,0
,0,Chipotle Steak Grilled Wrap,270 g,460,22,9,0.5,65,1010,40,3,5,28,10,40,40,20,0,0,0
,0,Cold Cut Trio Sandwich,235 g,540,28,11,0.3,70,1570,48,3,6,26,6,15,15,25,0,0,0
,0,Crispy Chicken Sandwich,254 g,460,16,1,0,55,1180,57,3,3,22,0,15,2,30,0,0,0
,0,Ham & Cheddar Sandwich,263 g,470,15,6,0.3,55,1220,58,3,2,25,8,15,20,35,0,0,0
,0,Chipotle Steak Sandwich,291 g,560,25,8,0.4,70,1160,61,3,4,28,6,20,15,50,0,0,0
,0,"Turkey, Bacon Club Sandwich",261 g,400,11,4,0,50,1250,51,5,5,26,2,40,2,25,0,0,0
,1,Chili,284 mL,290,16,7,0,60,1180,20,5,5,18,4,10,8,25,0,0,0
,1,Bistro French Onion Soup,284 mL,230,9,4.5,0.2,20,960,26,1,6,10,6,2,20,8,1,0,0
,1,Classic Chicken Noodle Soup,284 mL,120,1.5,0.5,0,5,710,21,1,2,5,4,40,2,4,0,0,0
,1,Cream of Broccoli Soup,284 mL,150,7,2.5,0.2,10,680,16,2,6,6,25,25,15,4,0,0,0
,1,East Coast Clam Chowder,284 mL,190,7,2,0.2,20,680,23,1,6,9,4,25,15,15,0,0,0
,1,Harvest Vegetable Soup,284 mL,80,0.4,0.1,0,0,590,14,2,3,4,25,20,4,6,1,1,0
,1,Hearty Potato Bacon Soup,284 mL,230,13,6,0.2,30,760,22,1,5,6,15,2,10,4,0,0,0
,1,Caesar Salad (with dressing),137 g,310,24,7,0.3,35,830,14,1,3,11,4,20,15,8,0,0,0
,1,Garden Salad (with dressing),212 g,140,11,1,0.1,0,310,11,2,7,2,0,30,4,8,1,0,1
,1,Savoury Potato Wedges,170 g,250,10,1,0.1,0,670,37,3,2,3,0,10,2,6,1,1,0
,1,White Homestyle Bun,105 g,280,4,0.5,0,0,430,52,2,0,10,0,0,2,25,1,1,0
,1,Whole Wheat Homestyle Bun,105 g,280,4,0.5,0,0,420,50,5,1,10,0,0,2,20,1,1,0
,2,Apple Fritter,101 g,310,8,3.5,0,0,330,53,2,19,7,0,4,4,15,1,0,0
,2,Caramel Apple Fritter,115 g,340,8,3.5,0,0,390,61,2,26,7,0,4,4,15,1,0,0
,2,Chocolate Dip,64 g,200,6,2.5,0,0,210,34,1,13,4,0,0,2,10,1,0,0
,2,Honey Dip,72 g,220,6,2.5,0,0,210,39,1,19,4,0,0,2,10,1,0,0
,2,Maple Dip,64 g,200,6,2.5,0,0,210,34,1,14,4,0,0,2,10,1,0,0
,2,Vanilla Dip,73 g,250,6,2.5,0,0,210,44,1,22,4,0,0,2,10,1,0,0
,2,Chocolate Glazed,76 g,280,14,6,0.1,5,320,37,1,19,4,0,0,2,15,1,0,0
,2,Chocolate Toasted Coconut,82 g,320,16,9,0.1,5,330,41,2,22,4,0,0,2,15,1,0,0
,2,Double Chocolate,67 g,260,14,6,0.1,5,320,32,1,14,4,0,0,2,15,1,0,0
,2,Old Fashion Dip,65 g,240,10,5,0.1,15,270,33,1,15,3,0,0,4,10,1,0,0
,2,Old Fashion Glazed,75 g,260,10,5,0.1,15,270,37,1,19,3,0,0,4,10,1,0,0
,2,Old Fashion Plain,58 g,210,10,5,0.1,15,260,25,1,8,3,0,0,4,10,1,0,0
,2,Sour Cream Glazed,75 g,320,16,8,0.1,10,220,40,1,23,3,0,0,2,8,1,0,0
,2,Sour Cream Plain,58 g,270,16,8,0.1,10,210,27,1,11,3,0,0,2,8,1,0,0
,2,Boston Cream,81 g,220,6,2.5,0,0,250,37,1,15,5,0,0,2,10,1,0,0
,2,Canadian Maple,81 g,210,6,2.5,0,0,250,37,1,16,5,0,0,2,10,1,0,0
,2,Raspberry,74 g,200,5,2,0,0,220,33,1,12,4,0,0,2,10,1,0,0
,2,Strawberry Vanilla,81 g,230,5,2,0,0,230,41,1,20,5,0,0,2,15,1,0,0
,2,Honey Cruller,70 g,280,18,9,0.3,50,200,27,0,12,2,0,0,2,2,1,0,0
,3,Apple Fritter Timbit,17 g,50,1.5,1,0,0,40,9,0,4,1,0,0,0,2,1,0,0
,3,Honey Dip Timbit,14 g,45,1,0.5,0,0,30,8,0,4,1,0,0,0,2,1,0,0
,3,Birthday Cake Timbit,21 g,80,3,1.5,0,5,60,12,0,8,1,0,0,0,2,1,0,0
,3,Chocolate Glazed Timbit,25 g,90,3,1.5,0,0,85,14,0,8,1,0,0,0,4,1,0,0
,3,Old Fashion Glazed Timbit,24 g,80,2.5,1,0,5,75,14,0,9,1,0,0,0,2,1,0,0
,3,Old Fashion Plain Timbit,15 g,50,2.5,1,0,5,75,7,0,2,1,0,0,0,2,1,0,0
,3,Old Fashion Sugar Timbit,16 g,60,2.5,1,0,5,75,8,0,3,1,0,0,0,2,1,0,0
,3,Sour Cream Glazed Timbit,21 g,90,4.5,2,0,5,55,11,0,7,1,0,0,0,2,1,0,0
,3,Sour Cream Plain Timbit,15 g,70,4.5,2,0,5,55,7,0,3,1,0,0,0,2,1,0,0
,3,Chocolate Toasted Coconut Timbit,21 g,80,4,2,0,0,85,10,0,5,1,0,0,0,4,1,0,0
,3,Raspberry Timbit,18 g,45,1,0.5,0,0,35,8,0,4,1,0,0,0,2,1,0,0
,3,Strawberry Timbit,18 g,50,1,0.5,0,0,35,8,0,4,1,0,0,0,2,1,0,0
,3,Venetian Cream Timbit,18 g,45,1.5,0.5,0,0,40,7,0,2,1,0,0,0,2,1,0,0
,3,Honey Cruller Timbit,19 g,70,3,1.5,0.1,10,35,10,0,7,0.2,0,0,0,0,1,0,0
,4,Original Blend Coffee (Black),286 mL,3,0,0,0,0,5,0,0,0,0.3,0,0,0,0,1,0,0
,4,Dark Roast Coffee (Black),286 mL,3,0,0,0,0,5,0,0,0,0.3,0,0,0,0,1,0,0
,4,Decaffeinated Coffee,286 mL,3,0,0,0,0,5,0,0,0,0.3,0,0,0,0,1,0,0
,4,"Original Blend Coffee (1 Cream, 1 Sugar)",286 mL,70,3.5,2,0.1,15,20,9,0,9,1,2,0,4,0,1,0,0
,4,Steeped Tea made with Whole Leaf,286 mL,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
,4,Specialty Tea,286 mL,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
,4,"Tea (1 Milk, 1 Sugar)",286 mL,40,0.4,0.3,0,0,10,8,0,8,1,0,0,2,0,1,0,0
,4,Hot Chocolate,286 mL,240,6,5,0.2,0,320,45,2,38,2,0,0,2,15,1,0,0
,4,White Hot Chocolate,286 mL,260,9,9,0,0,250,42,0,35,1,0,0,15,2,1,0,0
,4,Apple Cider,286 mL,210,0,0,0,0,5,52,0,52,0,0,0,0,0,1,0,0
,4,Latte,425 mL,150,6,3.5,0.1,20,140,13,0,13,10,10,0,35,0,1,0,0
,4,Caramel Latte,425 mL,270,7,4,0.1,25,180,41,0,38,11,10,0,35,0,1,0,0
,4,Vanilla Latte,425 mL,200,6,3.5,0.1,20,140,28,0,27,10,10,0,35,0,1,0,0
,4,Mocha Latte,425 mL,240,6,3.5,0.1,20,390,37,1,35,11,10,0,35,10,1,0,0
,4,Americano,425 mL,1,0.1,0,0,0,15,0,0,0,0.1,0,0,0,0,1,0,0
,4,Cappuccino,425 mL,120,4.5,3,0.1,20,120,11,0,11,8,10,0,30,0,1,0,0
,4,French Vanilla,286 mL,250,8,7,0.1,5,210,41,1,31,4,0,0,10,2,1,0,0
,4,Café Mocha,286 mL,100,1,1,0.1,0,75,20,1,14,1,0,0,0,6,1,0,0
,4,Iced Capp® (Cream),380 mL,250,11,6,0.4,45,50,33,0,33,2,8,0,10,2,1,0,0
,4,Iced Capp® Light (Milk),380 mL,150,1.5,1,0,5,35,32,0,32,3,2,0,8,2,1,0,0
,4,Iced Capp® (Chocolate Milk),380 mL,160,0.5,0.4,0,5,60,36,0,36,3,2,0,6,2,1,0,0
,4,Mocha Iced Capp® (Cream),380 mL,290,11,7,0.4,45,60,42,0,38,2,8,0,10,6,1,0,0
,4,Iced Coffee (Cream),380 mL,120,7,4,0.3,25,60,12,0,8,1,6,0,6,0,1,0,0
,4,Iced Coffee (Milk),380 mL,70,1,0.5,0,5,55,12,0,8,2,2,0,8,0,1,0,0
,4,Iced Coffee (Chocolate Milk),380 mL,80,0.5,0.3,0,0,80,16,0,12,2,2,0,6,0,1,0,0
,4,Mocha Iced Coffee (Cream),380 mL,160,7,4.5,0.3,25,75,21,0,13,2,6,0,6,6,1,0,0
,4,Iced Latte,515 mL,100,4,2.5,0.1,15,100,9,0,9,7,8,0,25,0,1,0,0
,4,Caramel Iced Latte,515 mL,220,5,3,0.1,20,140,37,0,34,8,8,0,25,0,1,0,0
,4,Vanilla Iced Latte,515 mL,160,4,2.5,0.1,15,100,24,0,23,7,8,0,25,0,1,0,0
,4,Mocha Iced Latte,515 mL,200,4.5,2.5,0.1,15,350,33,1,31,8,8,0,25,10,1,0,0
,4,Strawberry Banana Fruit Smoothie with Greek Yogurt,380 mL,140,1,0.5,0,5,30,30,0,27,3,0,0,10,0,1,0,0
,4,Frozen Lemonade (Original),380 mL,120,0.1,0,0,0,10,28,0,26,0,0,2,0,0,1,0,0
