Name Calories,,Fat(g),Sat. Fat (g),Trans Fat (g),Sugar(g),Carbs(g),Fibre(g),Protein(g),Sodium(mg)
STARTER SALADS*,,,,,,,,,
Bangkok 274,,7.8,1.6,trace,3.5,40,3.6,11.1,81.52
Caesar 168,,8.3,3.2,0.1,1.6,14.1,2.5,10,195.87
Pegasus 98,,5.2,1.7,trace,3,9.9,3.1,4.2,279.77
Popeye 160,,9.2,2.1,0,9.2,15.7,1.6,5.1,256
Signature 187,,8.7,2.1,trace,12.9,25.4,4,4.7,186.22
Southwest 155,,7.3,2.9,0.1,3.9,14.7,3.8,7.2,250
Spa 169,,8.3,0.9,trace,9.3,20.1,4,5,141.3
Sunshine 107,,6.3,2.4,0.1,2,8.5,1.4,4.6,137.8
**for gluten free starter salad request no pita chip,,,,,,,,,
FULL SALADS*,,,,,,,,,
Bangkok 518,,14.6,2.7,trace,8,76,7.2,21.2,111.66
Caesar 276,,13.9,6,0.2,2.7,21.2,4.4,18.3,292.14
Pegasus 158,,9.2,3.8,trace,4.8,14.2,5.8,7.8,500.24
Popeye 287,,17.2,4.2,0,18.7,26.8,3,9.3,443.72
Signature 348,,15.6,3.8,trace,25,47.6,7.5,8.8,384.1
Southwest 351,,16.6,6.3,0.3,8.2,37.4,8.8,15.3,585.41
Spa 287,,15.5,2.5,trace,14.8,30,7.5,9.2,206.94
Sunshine 168,,10.3,4.4,0.2,3.9,11.8,2.4,8.2,208.51
**for gluten free full salad request no pita chip,,,,,,,,,
WRAPS,,,,,,,,,
Bangkok Wrap 668,,24.9,3.9,trace,8.9,90.6,9.6,21.1,1072.85
Caeser Wrap 607,,32.9,5.4,0.1,2.7,59.4,7.6,19.8,1059.25
Pegasus Wrap 534,,30.9,4.1,trace,2.9,52.8,8.1,12.8,968.63
Popeye Wrap 577,,32.4,4.1,0.1,14.1,62,6.4,12,719.88
Signature Wrap 610,,31,5,trace,14.9,71.3,8.7,13.8,1043.75
Southwest Wrap 602,,35.7,5.9,0.1,3,57.4,8.1,15.1,981.1
Spa Wrap 586,,31.7,3.9,trace,10.3,62.6,8.1,13.6,936.92
Sunshine Wrap 548,,32.8,4.7,0.1,2.9,51.2,6.2,13.7,1131.79
